"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-03-31,310,"Rush","IN",,1092,88200,-0.00113250283125708,-0.00338983050847458,0.0600961538461538,0.0302224239851361,,"2016-09","2016-Q3",97000,-0.0907216494845361,"2016-07"
2017-03-31,668,"Parke","IN",,1093,81800,0.00245098039215686,0.0237797246558198,0.025062656641604,0.0090421547211359,-0.00441414214338154,"2005-07","2005-Q3",95800,-0.146137787056367,"2003-12"
2017-03-31,2269,"Fountain","IN",,1094,76700,0,0.00788436268068331,0.0185922974767596,0.0222749652510623,-0.0114942013773268,"2005-01","2005-Q1",99100,-0.226034308779011,"2003-04"
2017-03-31,162,"Frio","TX",,1095,96500,0.00311850311850312,0.012591815320042,0.0818385650224215,0.0190759665304043,,"2017-03","2017-Q1",96500,0,"2017-03"
2017-03-31,2662,"Claiborne","LA",,1096,90300,0.00668896321070234,0.032,0.0905797101449275,0.0182320442055228,,"2017-03","2017-Q1",90300,0,"2017-03"
2017-03-31,1119,"Jasper","MS","Laurel",1097,97300,0,0.00412796697626419,0.0439914163090129,0.0103879864707093,0.0298583234510379,"2017-03","2017-Q1",97300,0,"2017-03"
2017-03-31,2704,"Gilchrist","FL","Gainesville",1098,142600,0.00848656294200849,0.0408759124087591,0.131746031746032,0.0563748393384955,-0.0144842754362889,"2008-02","2008-Q1",174000,-0.180459770114943,"2005-11"
2017-03-31,977,"Dallas","MO","Springfield",1099,118800,-0.00335570469798658,0.00253164556962025,0.0241379310344828,0.0774884596792891,,"2017-02","2017-Q1",119200,-0.00335570469798658,"2017-01"
2017-03-31,942,"Clarke","MS","Meridian",1100,80400,0,0.0012453300124533,0.0428015564202335,0.0102585578903072,0.0187038761102942,"2009-07","2009-Q3",80800,-0.00495049504950495,"2009-06"
2017-03-31,73,"Gem","ID","Boise City",1101,178000,0.0148232611174458,0.0439882697947214,0.0532544378698225,0.067175402943997,-0.0512081954911076,"2006-11","2006-Q4",380600,-0.53231739358907,
2017-03-31,2835,"Robertson","TX","College Station",1102,73600,0.00136054421768707,0.0137741046831956,0.0807635829662261,0.0180580680589679,,"2017-03","2017-Q1",73600,0,"2017-03"
2017-03-31,990,"Dewitt","IL","Bloomington",1103,79300,0,-0.00750938673341677,-0.0387878787878788,0.00590390108820849,,"2010-03","2010-Q1",86300,-0.0811123986095017,
2017-03-31,487,"Dukes","MA","Vineyard Haven",1104,726100,0.00276204944068499,0.0086123072648979,0.0105775922059847,0.0507466061965665,-0.00244577301320936,"2006-08","2006-Q3",749800,-0.0316084289143772,"2005-12"
2017-03-31,723,"Smith","MS",,1105,98200,0.00101936799184506,0.00306435137895812,0.0435706695005314,0.010506508522355,0.0473993529441599,"2017-03","2017-Q1",98200,0,"2017-03"
2017-03-31,871,"Benton","TN",,1106,74600,0.0261348005502063,0.0536723163841808,0.0581560283687943,0.015141416020378,0.00754226512855438,"2007-11","2007-Q4",74800,-0.00267379679144385,"2007-11"
2017-03-31,1801,"Jackson","LA",,1107,108700,0.00648148148148148,0.0283822138126774,0.0924623115577889,0.0178441682060515,0.0486445034775296,"2017-03","2017-Q1",108700,0,"2017-03"
